"","Saturation","fcog","gamma","isotope shift","AES","BES","BE153","AE153"
"Mean value",4,3622.488988115722,61.698842836710206,-2806.820323574875,-156.00939527899837,81.09207616896077,200.1642096287367,-68.90604715601445
"error",0,0.5695388993066215,"",11.654441680692338,0.06720739056626208,1.758844259312253,37.305390104052265,1.4292910097358789
"",4,3623.835426598998,63.461396070923726,-2809.6984261922344,-156.1955978129042,82.5181799450101,207.765767845817,-68.87718700186178
"",4,3622.457997033155,65.24756347431077,-2808.2877277474486,-155.87496624345746,79.23779563966347,206.51682146493744,-68.81819328414045
"",4,3623.4246030185886,61.920975191227285,-2805.5260711191177,-156.02374150656087,78.65166503337258,196.19409850924794,-69.078681991859
"",4,3621.298826031045,63.73482623516951,-2803.5229414618416,-155.8746204264494,83.6636627217605,182.77342896307357,-68.4672725672454
"",4,3622.4942431584905,56.180311192580014,-2806.918364345219,-156.07469449093955,80.0587300618675,202.50458628218863,-69.09016815748998
"",4,3621.9014576634563,63.196258224534525,-2807.021091986316,-155.94766804953713,81.94658500240496,203.66502598751165,-68.97201731270768
"",4,3622.4090812319773,53.60783306911222,-2805.8245521565245,-156.11559850666706,82.79040592661423,194.56708451073627,-68.96384499695026
"",4,3622.0902701900654,66.24157923582364,-2807.7634135903,-155.9682751954713,79.86958502099293,207.32686346638087,-68.98101193586103
