"","saturation","fcog","gamma","isotope shift","AES","BES","BE153","AE153"
"Mean value",4,4090.250364704123,36.650974863205676,-2976.067066062209,-218.6258703411845,-292.5807892454969,-752.1650716848131,-96.81667411347362
"error",0,0.13819588784638118,"",5.2062032998755905,0.02283370692206207,0.5054515679662689,17.29702154158438,0.869087431337042
"",4,4090.850873700861,27.16669565271389,-2975.9891347623065,-218.61660609449447,-292.9115649372401,-752.3278047362969,-96.82672151571889
"",4,4090.22124266728,42.42005972758263,-2975.527107642021,-218.6682252483011,-292.3641320068344,-750.161431515929,-96.76014573966064
"",4,4090.7692773451113,35.46002305414745,-2975.482022969363,-218.6157854371257,-292.91994513837363,-752.8585464951502,-96.78565932707559
"",4,4090.237816870566,28.962693828947316,-2976.7616349574105,-218.59283592593044,-291.5849175752811,-752.2962526333639,-96.5497520381044
"",4,4089.728888924636,42.48955935179508,-2976.4728186362436,-218.61822330823165,-292.1230821220959,-752.5166835120966,-96.94934889507444
"",4,4089.904462364157,34.166374473848705,-2976.6076126009552,-218.61053747457817,-292.809466829091,-754.3117499186184,-96.9478352265037
"",4,4090.1338708880994,37.632505490311445,-2976.0967137952944,-218.64461289925273,-292.7228021940654,-750.5587066867287,-96.79526974289979
"",4,4090.156484872278,44.90988732629887,-2975.599483134081,-218.64013634156177,-293.2104031609936,-752.289397980321,-96.91866042275154
